,word,frequency
2578,grow,17
3774,note,17
2822,ice,17
288,american,17
5097,skill,17
1061,class,17
3492,mentally,17
5224,son,17
329,anyway,17
4088,piece,17
4354,protest,17
673,bless,17
5221,sometimes,17
1383,cricket,17
319,answer,17
687,blow,17
3423,marriage,17
704,bomb,17
3629,mother,17
1017,chinese,17
415,asshole,17
1072,clear,17
266,alone,17
4495,realize,17
1836,drop,17
538,base,17
3902,outside,17
3858,opinion,17
5644,tho,17
2596,gun,17
479,b,17
4449,raise,17
6280,x,17
2203,favourite,17
4898,seat,17
6168,welcome,17
2108,explain,17
4012,peace,17
789,brother,17
5044,side,17
1561,deliver,17
6227,winner,17
2066,exactly,17
5647,thought,17
4621,reply,16
2222,female,16
474,awesome,16
3595,mom,16
2355,four,16
4404,pussy,16
4601,remind,16
3644,movie,16
132,accord,16
1168,community,16
3124,killer,16
4533,red,16
5049,sign,16
1566,demand,16
3776,notice,16
3163,language,16
435,attention,16
724,boring,16
720,border,16
1387,criminal,16
3654,murder,16
4597,remain,16
3206,left,16
303,animal,16
543,basically,16
613,bet,16
5819,truth,16
3465,meat,16
1027,choose,16
993,check,16
5328,stage,16
3442,match,16
234,ahead,16
2814,husband,15
811,bullshit,15
5234,sort,15
1232,congratulation,15
5226,song,15
1927,elephant,15
2601,h,15
4370,public,15
6224,wing,15
5230,sorbet,15
4984,share,15
4432,quote,15
1882,easy,15
4351,protect,15
3596,moment,15
2664,heart,15
1184,completely,15
5697,toast,15
5405,strong,15
154,action,15
2796,humble,15
1562,delivery,15
697,body,15
309,announcement,15
1370,cream,15
6230,wipe,15
640,birthday,15
3084,join,15
2315,fly,15
3274,list,15
3154,lady,15
1507,dear,15
1044,citizen,15
4428,quit,15
2032,especially,15
5677,till,15
5843,twice,15
2431,future,15
928,cat,15
3503,mess,15
933,catwalk,15
3189,lazy,14
5606,terrible,14
4356,proud,14
4294,pro,14
6265,worth,14
4687,return,14
2165,false,14
5113,slap,14
1964,en,14
782,british,14
6067,violence,14
55,3rd,14
4429,quite,14
3380,majority,14
4397,pure,14
584,behaviour,14
16,15,14
2328,foot,14
3703,near,14
5573,teach,14
5739,touch,14
4213,pot,14
1917,elect,14
1623,destroy,14
2574,gross,14
2260,finger,14
5400,strike,14
2807,hungry,14
2495,glad,14
1565,delusional,14
1841,drunk,14
2432,g,14
870,camping,14
4331,promise,14
4260,present,14
4167,politic,14
1342,court,14
1464,dad,14
1249,consider,14
1480,dangerous,14
5483,surely,14
5276,spend,14
6122,war,14
5490,survive,14
371,area,14
4471,rate,14
6054,view,14
5012,shock,14
5310,spread,14
1811,drag,14
2991,insult,14
2691,hide,14
3579,mob,14
5020,shop,14
3832,officer,14
866,campaign,13
748,boyfriend,13
527,bar,13
3745,niggas,13
579,begin,13
5845,twist,13
3831,office,13
2053,event,13
1282,control,13
8,11,13
5609,terrorism,13
4492,realise,13
1801,doubt,13
4040,perhaps,13
812,bully,13
5087,situation,13
5390,street,13
4914,seek,13
1162,common,13
5084,sister,13
5641,third,13
904,card,13
6068,violent,13
4170,politician,13
4207,possible,13
5199,society,13
5337,star,13
5988,useless,13
2116,expose,13
4628,represent,13
6297,yesterday,13
3618,more,13
5766,train,13
4832,sassy,13
5777,trash,13
498,bag,13
3438,massive,13
956,certain,13
1247,conservative,13
1877,earth,13
4150,plus,13
2252,final,13
5475,suppose,13
5851,type,13
1723,disease,13
5505,swear,13
14,14,13
21,18,13
3191,lead,13
4778,ruin,13
2123,extra,13
88,8,13
975,chant,12
3446,matter,12
829,bus,12
5263,special,12
3169,late,12
1727,disgust,12
75,6,12
4902,secret,12
4164,policy,12
6135,waste,12
4777,rude,12
5239,soup,12
218,african,12
267,along,12
5236,soul,12
1330,count,12
5518,switch,12
4709,rich,12
5008,shirt,12
616,better,12
1695,disagree,12
4525,record,12
1094,club,12
1476,dance,12
1490,date,12
5344,statement,12
2618,handle,12
5853,typical,12
2344,former,12
33,24,12
763,bread,12
4090,pig,12
3997,pathetic,12
1736,dislike,12
6046,victim,12
4561,refuse,12
3171,later,12
4581,relate,12
2073,except,12
1872,e,12
942,celebrate,12
239,air,12
4214,potato,12
25,1st,12
4034,perfect,12
1376,credit,12
2658,health,12
5781,travel,12
630,bill,12
1768,divorce,12
4804,sake,12
1348,cow,12
374,argue,12
345,apparently,12
843,bye,12
120,abuse,12
2320,folk,11
6162,weekend,11
4269,pretend,11
4443,radical,11
1406,cross,11
2338,forever,11
27,20,11
6204,whore,11
1006,chick,11
19,17,11
4666,response,11
28,200,11
4543,refer,11
4231,practice,11
957,certainly,11
1227,confuse,11
4440,racism,11
1454,customer,11
1172,compare,11
1255,conspiracy,11
1363,crash,11
4403,push,11
753,brain,11
3484,member,11
2742,honest,11
5415,study,11
6095,vomit,11
3616,moral,11
5026,shot,11
3830,offer,11
2084,excuse,11
348,appear,11
403,asian,11
1901,education,11
5616,text,11
1617,despicable,11
2205,fear,11
3252,light,11
5909,unfair,11
3760,none,11
5088,six,11
2979,inspire,11
1720,discuss,11
2069,example,11
2284,flag,11
2281,fix,11
648,bitchy,11
3550,minority,11
2278,fit,11
650,bitter,11
308,announce,11
3690,national,11
2755,hopefully,11
542,basic,11
5574,teacher,11
5352,steal,11
3326,loud,11
852,cake,11
3038,involve,11
2894,incident,11
377,arm,11
1998,entire,11
1512,debate,11
3861,oppose,11
3860,opportunity,11
5816,trust,11
1824,dream,11
2602,ha,11
1520,decision,11
487,backstop,11
3017,internet,11
5336,standard,11
1536,defend,11
6100,vs,11
5388,stream,11
5904,undocumented,11
1521,declare,11
5153,slut,11
4120,plan,10
4340,proper,10
5193,social,10
2245,figure,10
5975,upset,10
1069,clean,10
2225,feminist,10
3229,lesson,10
5166,smoke,10
5164,smirk,10
997,cheese,10
5250,span,10
2843,ill,10
4713,ride,10
5372,stone,10
3397,manager,10
1831,drive,10
1832,driver,10
5387,strategy,10
4732,rise,10
4191,population,10
4668,responsible,10
48,31st,10
5801,triple,10
5446,suffer,10
718,boot,10
5467,super,10
6292,yell,10
2368,freak,10
974,channel,10
5561,target,10
2091,exist,10
1108,coffee,10
174,address,10
4078,pic,10
4071,photo,10
879,candidate,10
1097,co,10
5670,ticket,10
819,bunch,10
2412,fully,10
3766,normal,10
3141,knock,10
1571,democratic,10
5065,simply,10
1456,cute,10
2576,ground,10
3833,official,10
6166,weird,10
11,12,10
6050,victory,10
2914,indian,10
833,busy,10
4483,reach,10
2538,grade,10
3349,lynch,10
124,accent,10
6117,wall,10
3853,opener,10
2342,form,10
5028,shout,10
5578,tear,10
359,appreciate,10
730,bother,10
433,attempt,10
4248,prefer,9
4266,press,9
3011,interesting,9
4667,responsibility,9
2996,intellectual,9
3107,k,9
5651,threat,9
5395,stretch,9
3096,juice,9
5809,trouble,9
4,1000,9
2446,garbage,9
4697,review,9
392,arsehole,9
391,arse,9
6308,yummy,9
4361,provide,9
5688,tired,9
13,13,9
2886,improve,9
1210,condemn,9
5538,tag,9
463,average,9
4606,remove,9
5752,toxic,9
3211,legal,9
4619,replace,9
2102,experience,9
310,annoy,9
5588,television,9
4412,quality,9
3132,kiss,9
5496,suspicious,9
1892,economy,9
1098,coach,9
2966,insane,9
424,asylum,9
2841,ignore,9
2907,increase,9
2840,ignorant,9
5454,suit,9
4282,prime,9
2136,f,9
562,bear,9
3054,islamic,9
982,charge,9
633,bimbos,9
2645,hateful,9
638,bird,9
2378,fresh,9
907,career,9
1433,culture,9
1355,crack,9
2516,golden,9
6146,weak,9
4877,scream,9
5156,small,9
3834,officially,9
3544,mine,9
722,bore,9
3593,mole,9
6007,value,9
187,admit,9
5215,somebody,9
3607,monkey,9
4112,pitch,9
1666,dig,9
1374,credibility,9
4136,player,9
3650,multiple,9
4119,plain,9
3386,male,9
2322,follower,9
6036,version,9
2201,favorite,9
603,benefit,9
2316,focus,9
3395,manage,9
89,80,9
3923,p,9
1605,describe,9
741,bowl,9
44,30,9
3933,pain,9
2764,horse,9
3412,maple,9
4731,rip,9
4208,possibly,9
3705,nearly,9
1317,correct,9
865,camp,9
4967,sexist,9
4938,separate,9
1608,desert,9
759,brave,9
4185,pop,9
618,beyond,9
2386,fritter,9
57,40,9
1569,democracy,8
2291,flee,8
3139,knife,8
1440,curd,8
3147,l,8
3153,lad,8
2404,fucker,8
3009,interest,8
1976,energy,8
1560,delicious,8
1497,de,8
2004,entree,8
2591,guilty,8
3938,pair,8
2306,floor,8
1994,enter,8
1993,ensure,8
4463,rapist,8
3970,parliament,8
3104,justice,8
2610,halal,8
2326,fool,8
2046,european,8
3829,offensive,8
3828,offense,8
2287,flat,8
2534,grab,8
4053,personality,8
3461,meanwhile,8
2216,feeling,8
2212,feed,8
2502,global,8
1725,disgraceful,8
3269,link,8
2198,fault,8
3292,load,8
2794,humanity,8
4421,quickly,8
3424,marry,8
2766,host,8
2470,generation,8
1782,dollar,8
4257,prepare,8
2467,general,8
1295,convince,8
4327,project,8
3241,library,8
2220,fellow,8
1896,edit,8
2081,excited,8
3713,negative,8
4101,pink,8
2274,fish,8
3185,lawyer,8
1399,critique,8
4107,piss,8
1213,condescending,8
3670,na,8
1221,confidence,8
3643,movement,8
1906,effort,8
4148,plot,8
4341,properly,8
3232,letter,8
1496,dc,8
0,0,8
680,bloke,8
4946,serious,8
410,assault,8
5271,speech,8
5265,specific,8
396,article,8
5978,ur,8
4536,redemption,8
5727,torture,8
860,calm,8
380,army,8
5649,thousand,8
4549,refined,8
5086,site,8
744,box,8
5136,slightly,8
67,50,8
6150,wealthy,8
5672,tie,8
5681,tin,8
1093,clown,8
5830,tune,8
5148,slow,8
6239,within,8
877,cancel,8
779,brilliant,8
639,birth,8
4952,service,8
1067,classy,8
5485,surprised,8
6071,viral,8
513,bang,8
5413,student,8
1008,chief,8
4630,representative,8
6059,vile,8
301,angry,8
5369,stock,8
5599,tent,8
5791,trend,8
6174,western,8
4505,receive,8
450,australian,8
5994,utter,8
845,c,8
583,behavior,8
436,attitude,8
2817,hypocrite,7
3900,outrageous,7
4970,sexy,7
5832,turd,7
1465,daddy,7
2798,humiliate,7
2157,fairly,7
4933,sensitive,7
5795,trick,7
1485,dare,7
862,camel,7
3931,page,7
3927,packet,7
1518,decent,7
4935,sentence,7
4486,reaction,7
895,capsicum,7
2713,hire,7
6097,voter,7
4733,risk,7
4204,positive,7
1321,corrupt,7
2280,five,7
6055,viewer,7
4754,role,7
4755,roll,7
5995,utterly,7
1358,crackle,7
2677,hello,7
5992,usually,7
2702,hilarious,7
2725,hoe,7
896,captain,7
4122,planet,7
5968,update,7
4825,sandwich,7
4834,sauce,7
4105,pipe,7
2208,feature,7
923,cash,7
4979,shameful,7
5920,unhygienic,7
4074,phrase,7
2196,father,7
224,agent,7
4038,performance,7
1529,deep,7
5718,tooth,7
3849,online,7
4986,shark,7
675,blind,7
3068,jar,7
1686,direct,7
3573,mix,7
3570,mistake,7
1697,disappoint,7
5639,thinking,7
5635,thin,7
649,bite,7
3514,mexican,7
3144,knowledge,7
422,assume,7
3151,lack,7
3161,land,7
582,behave,7
5348,status,7
3382,maker,7
3193,leadership,7
3339,lucky,7
1815,drama,7
1819,draw,7
5378,storm,7
3320,loser,7
467,avoid,7
3295,local,7
5472,supply,7
5474,supporter,7
688,blue,7
3610,monster,7
5210,solution,7
5700,toe,7
3836,often,7
5019,shooting,7
1555,delete,7
2878,importance,7
5756,trade,7
3817,obvious,7
2883,impressed,7
5741,tough,7
5730,tory,7
142,accuse,7
1590,deport,7
1606,description,7
2059,evidence,7
3044,irish,7
2058,everywhere,7
1614,desperate,7
346,appeal,7
5694,title,7
5686,tip,7
3702,nazi,7
3698,nature,7
728,bot,7
356,apply,7
3682,narcissistic,7
3672,nail,7
5674,tight,7
1299,cookbook,7
3868,option,7
2473,genius,7
1133,color,7
4570,regular,7
4448,rain,7
6262,worship,7
6127,warm,7
2587,guest,7
4509,recipe,7
4337,proof,7
4335,pronounce,7
1170,company,7
128,accident,7
1084,clock,7
4637,require,7
2370,freedom,7
2340,forgive,7
2493,girlfriend,7
4690,reveal,7
1271,contest,7
6311,zero,7
6160,weed,7
1258,constantly,7
6176,wetback,7
2359,fr,7
2568,grip,7
4346,prosecute,7
4545,reference,7
6142,wave,7
2515,gold,7
1224,confirm,7
2909,indeed,6
332,apart,6
2964,innocent,6
2944,information,6
2365,fraud,6
5077,sink,6
330,anyways,6
1020,chip,6
5111,slam,6
2971,inside,6
3721,neither,6
738,bout,6
733,bottle,6
2372,freely,6
3696,natural,6
3692,nationalist,6
